Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
JULIO,DOG,CHIHUAHUA SH,CHOCOLATE,Neutered,TOY,6/24/2012,K15-014423,DA04,A322891,6/12/2015,7/18/2015,36,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.491884, -122.90672)",1
BOO,DOG,BORDER COLLIE/MIX,BLACK/BROWN,Neutered,LARGE,1/5/2007,K17-025177,DS86,A362029,9/5/2017,9/7/2017,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
BELLA,DOG,WELSH CORGI PEM,SABLE/WHITE,Spayed,MED,4/11/2009,K17-023070,DS55,A351023,4/10/2017,4/11/2017,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*BRODIE,DOG,GERM SHEPHERD,BROWN/BLACK,Neutered,LARGE,12/4/2011,K14-008440,DS70,A299918,4/12/2014,4/18/2014,6,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,B A GERMAN,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94947,"94947(38.098743, -122.592459)",1
ROYCE,DOG,LABRADOR RETR/MIX,BROWN/WHITE,Male,LARGE,1/5/2013,K15-015164,DS56,A315499,7/30/2015,8/4/2015,5,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,94954,"94954(38.245316, -122.59871)",1
YOSHI,DOG,POMERANIAN/MIX,TAN/WHITE,Neutered,SMALL,,K15-015471,DS51,A324714,8/18/2015,8/19/2015,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*GRADY,DOG,SIBERIAN HUSKY/MIX,BLK SMOKE,Neutered,MED,8/8/2016,K17-024426,DA06,A355652,7/16/2017,8/26/2017,41,STRAY,FIELD,ADOPTION,FB SCAS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.403734, -122.736775)",1
,CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,8/18/2014,K14-011336,CS06,A312876,10/18/2014,10/24/2014,6,STRAY,COMM CAT,RETURN TO OWNER,MEDICAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
SKIZZ,DOG,SIBERIAN HUSKY/MIX,RED/WHITE,Neutered,MED,,K17-024218,DS83,A339781,7/3/2017,7/5/2017,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95462,"95462(38.468829, -123.018829)",1
CRISIS,DOG,PIT BULL,BLUE/WHITE,Female,MED,12/18/2008,K15-017100,DQ108,A330655,12/10/2015,12/22/2015,12,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,89433,"89433(39.597342, -119.774504)",1
HASHKY,DOG,GERM SHEPHERD/MIX,TAN,Neutered,LARGE,12/3/2010,K18-027859,DS63,A304372,4/17/2018,4/17/2018,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,BLK TABBY,Spayed,SMALL,,K14-011545,CS06,A313268,10/30/2014,11/6/2014,7,STRAY,COMM CAT,RETURN TO OWNER,MEDICAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1
,CAT,DOMESTIC MH,BLACK,Male,SMALL,7/29/2016,K16-020367,CA03,A341190,8/18/2016,8/19/2016,1,STRAY,FIELD,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
OWEN,DOG,PUG/MIX,BROWN,Neutered,SMALL,7/11/2008,K14-009743,DS79,A308930,7/10/2014,7/11/2014,1,TRANSFER,VET_HOSP,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,OTHER,RABBIT SH,TAN,Unknown,SMALL,,K18-026917,CS06,A366647,1/4/2018,1/13/2018,9,STRAY,FIELD,TRANSFER,SAVEABUNNY,UNKNOWN,TREATABLE/REHAB,SANTA ROSA,COUNTY,94941,"94941(37.896402, -122.547447)",1
,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,,K14-010972,CS06,A312046,9/24/2014,9/30/2014,6,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1
BABY,DOG,PIT BULL,BR BRINDLE/WHITE,Spayed,MED,9/8/2015,K17-025240,DS67,A360719,9/8/2017,9/13/2017,5,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
SUKI,CAT,DOMESTIC SH,SEAL PT,Spayed,SMALL,9/4/2013,K14-010621,CS04,A311176,9/4/2014,10/28/2014,54,STRAY,COMM CAT,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
,OTHER,LOP-MINI,BROWN/WHITE,Unknown,SMALL,,K15-015897,MISSING,A326859,9/7/2015,9/10/2015,3,STRAY,BORN_HERE,EUTHANIZE,UNDERAGEWT,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
CAPT.MIDNITE,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,3/23/2008,K16-018182,CS05,A334815,3/23/2016,4/16/2016,24,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95461,"95461(38.787437, -122.64395)",1
,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,3/25/2016,K17-022909,CS06,A349943,3/25/2017,3/28/2017,3,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,COUNTY,94952,"94952(38.236012, -122.730241)",1
,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,5/24/2014,K14-010981,CS06,A312099,9/25/2014,9/27/2014,2,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,HEALTHY,COUNTY,COUNTY,94952,"94952(38.236012, -122.730241)",1
,OTHER,GUINEA PIG,TRICOLOR,Male,SMALL,,K18-027747,CS06,A370631,4/5/2018,4/11/2018,6,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.403734, -122.736775)",1
BLUE,CAT,SIAMESE/MIX,BLUE PT/WHITE,Neutered,SMALL,1/8/2002,K15-012362,LOBBY,A315623,1/8/2015,2/6/2015,29,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1
,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,8/13/2015,K15-016371,CS06,A328262,10/13/2015,10/16/2015,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,COMMCAT,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
,CAT,DOMESTIC SH,BLACK,Male,SMALL,3/25/2011,K16-018208,SMM,A334885,3/25/2016,4/6/2016,12,STRAY,FIELD,EUTHANIZE,FELV/FIV,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
MALIBU,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,5/13/2011,K14-008828,CS05,A306617,5/13/2014,5/30/2014,17,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
CHENCHO,DOG,CHIHUAHUA SH/MIX,TAN/WHITE,Neutered,SMALL,8/22/2012,K14-007451,DS70,A301899,1/24/2014,1/24/2014,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1
HAGAN,DOG,GREAT PYRENEES/CATAHOULA,Y BRINDLE,Neutered,PUPPY,11/26/2015,K16-017596,DA06,A332413,1/26/2016,2/13/2016,18,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1
GRACIE,DOG,CHIHUAHUA SH/MIX,BROWN/WHITE,Spayed,SMALL,11/5/2005,K15-016696,DS73,A329467,11/4/2015,11/6/2015,2,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
SHADOW,DOG,GERM SHEPHERD,BLACK,Neutered,PUPPY,6/10/2014,K14-010812,DA16,A311644,9/16/2014,9/23/2014,7,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94952,"94952(38.236012, -122.730241)",1
SASHA,DOG,AUST SHEPHERD/MIX,WHITE/TAN,Spayed,MED,4/9/2012,K14-010536,DA40,A280555,8/29/2014,9/16/2014,18,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*ROHNERT PARK,COUNTY,95436,"95436(38.491884, -122.90672)",1
BAILEY,DOG,PIT BULL,GRAY/WHITE,Spayed,LARGE,8/5/2009,K16-021180,KINGS KSTL,A243025,10/14/2016,4/22/2017,190,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,FAMILY DOG,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,97206,"97206(45.482846, -122.599304)",1
,OTHER,MOUSE,WHITE,Female,SMALL,,K17-023260,CI02,A351397,4/25/2017,4/29/2017,4,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
BUBBA,DOG,AMER BULLDOG,BR BRINDLE/WHITE,Neutered,LARGE,5/21/2012,K15-016139,DA18,A299475,9/25/2015,11/28/2015,64,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
WHISKEY,DOG,PIT BULL/MIX,BROWN/WHITE,Neutered,MED,5/26/2015,K17-023984,TRUCK,A328610,6/17/2017,6/17/2017,0,STRAY,FIELD,RETURN TO OWNER,FLD_LIC,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
TYSON,DOG,MIN PINSCHER,UNKNOWN,Male,MED,7/9/2016,K17-024077,TRUCK,A348274,6/22/2017,6/22/2017,0,STRAY,FIELD,RETURN TO OWNER,FLD_IDTAG,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
YESKA,DOG,GERM SHEPHERD,TAN/BLACK,Female,LARGE,11/19/2013,K14-012051,DS83,A314021,12/12/2014,12/18/2014,6,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.618857, -122.861927)",1
DEXTER,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,4/8/2014,K17-024319,CA02,A305363,7/8/2017,8/5/2017,28,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95441,"95441(38.729916, -122.883041)",1
COOPER,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,,K15-017167,CA02,A330946,12/16/2015,12/18/2015,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
,CAT,DOMESTIC SH,GRAY,Unknown,MED,,K15-014715,CS06,A372567,7/2/2015,7/15/2015,13,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1
NESHA,DOG,LABRADOR RETR/MIX,BR BRINDLE/WHITE,Neutered,MED,2/14/2012,K14-007709,DS74,A302678,2/14/2014,2/20/2014,6,CONFISCATE,FLD_ARREST,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
CHOPPER,DOG,AMERICAN STAFF,BROWN/WHITE,Neutered,LARGE,,K14-009062,DQ111,A019319,5/31/2014,5/31/2014,0,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1
,OTHER,RAT,GRAY,Male,SMALL,,K18-027971,CI02,A371161,4/24/2018,4/28/2018,4,STRAY,OVER THE COUNTER,TRANSFER,RATTIE RAT,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,94517,"94517(37.911752, -121.909739)",1
KHALEESI,DOG,GERM SHEPHERD,BLACK,Spayed,MED,11/20/2014,K15-016858,DA14,A329773,11/20/2015,12/18/2015,28,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
,CAT,DOMESTIC SH,WHITE/GRAY,Neutered,SMALL,,K14-010605,CS06,A311114,9/3/2014,9/9/2014,6,STRAY,COMM CAT,RETURN TO OWNER,MEDICAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95421,"95421(38.610732, -123.200051)",1
*JEFFEY,DOG,ROTTWEILER/GERM SHEPHERD,BROWN,Neutered,LARGE,2/21/2017,K18-027357,DA40,A368965,2/21/2018,5/1/2018,69,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*LICORICE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,4/6/2014,K14-008730,WESTFARM,A306234,5/6/2014,6/20/2014,45,STRAY,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
,CAT,DOMESTIC SH,TORTIE,Female,KITTN,6/7/2015,K15-015298,CS06,A324982,8/7/2015,8/12/2015,5,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,HEALTHY,COUNTY,COUNTY,94954,"94954(38.245316, -122.59871)",1
ELLA,CAT,DOMESTIC SH,BRN TABBY/WHITE,Female,KITTN,5/27/2017,K17-024147,CA03,A354504,6/27/2017,6/28/2017,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95436,"95436(38.491884, -122.90672)",1
